Vendor,Order Deadline,Order Lines / Product,Order Lines / Quantity,Order Lines / Unit Price
Repuestos Andinos,2026-06-01,Aceite 5W30 1L,20,8.20
Lubricantes Sierra,2026-06-02,Aceite 10W40 1L,20,7.80
Autopartes Guayas,2026-06-03,Filtro de aceite A1,50,3.80
Frenos del Pacifico,2026-06-04,Filtro de aire A2,40,4.60
Electricos Austro,2026-06-05,Bujia NGK BKR6E,60,6.10
Suspensiones Azuay,2026-06-06,Pastillas de freno delanteras,20,22.00
Filtros Manabi,2026-06-07,Pastillas de freno traseras,20,20.50
Neumaticos Costa,2026-06-08,Disco de freno 280mm,15,30.00
Transmision Ambato,2026-06-09,Bateria 12V 60Ah,10,90.00
Refrigeracion Central,2026-06-10,Neumatico 195/65R15,15,60.00
Iluminacion Quito,2026-06-11,Neumatico 205/55R16,12,68.00
Correas y Bandas,2026-06-12,Amortiguador delantero,18,52.00
Rodamientos Guayaquil,2026-06-13,Amortiguador trasero,18,49.00
Quimicos del Valle,2026-06-14,Correa de distribucion,25,37.00
Accesorios Cuenca,2026-06-15,Correa auxiliar,35,16.00
Herramientas Sierra,2026-06-16,Liquido de frenos DOT4,60,4.20
Sensores Manta,2026-06-17,Liquido refrigerante 1L,55,3.90
Electronica Auto,2026-06-18,Filtro de combustible C1,30,6.70
Baterias Ambato,2026-06-19,Limpiaparabrisas 22in,40,7.50
Lubricantes Andinos,2026-06-20,Lampara H4 60/55W,70,3.10
Repuestos Premium,2026-06-21,Kit de embrague,8,130.00
Frenos Seguros,2026-06-22,Alternador 90A,6,160.00
Suspension Plus,2026-06-23,Motor de arranque,6,140.00
Motor Parts EC,2026-06-24,Sensor de oxigeno,15,45.00
Filtros del Austro,2026-06-25,Bobina de encendido,15,31.00
Neumaticos Sierra,2026-06-26,Radiador compacto,7,95.00
Direccion Hidraulica,2026-06-27,Termostato 88C,20,11.00
Escape y Catalizadores,2026-06-28,Kit de afinamiento,12,40.00
Pinturas y Limpieza,2026-06-29,Aditivo limpiainyectores,40,5.20
Insumos Automotrices,2026-06-30,Grasa multiproposito 500g,45,4.10
