Vendor,Order Deadline,Order Lines / Product,Order Lines / Quantity,Order Lines / Unit Price
Repuestos Andinos,2026-05-01,Aceite 5W30 1L,30,8.20
Lubricantes Sierra,2026-05-02,Aceite 10W40 1L,30,7.80
Autopartes Guayas,2026-05-03,Filtro de aceite A1,60,3.80
Frenos del Pacifico,2026-05-04,Filtro de aire A2,50,4.60
Electricos Austro,2026-05-05,Bujia NGK BKR6E,80,6.10
Suspensiones Azuay,2026-05-06,Pastillas de freno delanteras,25,22.00
Filtros Manabi,2026-05-07,Pastillas de freno traseras,25,20.50
Neumaticos Costa,2026-05-08,Disco de freno 280mm,20,30.00
Transmision Ambato,2026-05-09,Bateria 12V 60Ah,12,90.00
Refrigeracion Central,2026-05-10,Neumatico 195/65R15,18,60.00
Iluminacion Quito,2026-05-11,Neumatico 205/55R16,16,68.00
Correas y Bandas,2026-05-12,Amortiguador delantero,22,52.00
Rodamientos Guayaquil,2026-05-13,Amortiguador trasero,22,49.00
Quimicos del Valle,2026-05-14,Correa de distribucion,30,37.00
Accesorios Cuenca,2026-05-15,Correa auxiliar,45,16.00
Herramientas Sierra,2026-05-16,Liquido de frenos DOT4,70,4.20
Sensores Manta,2026-05-17,Liquido refrigerante 1L,65,3.90
Electronica Auto,2026-05-18,Filtro de combustible C1,40,6.70
Baterias Ambato,2026-05-19,Limpiaparabrisas 22in,55,7.50
Lubricantes Andinos,2026-05-20,Lampara H4 60/55W,90,3.10
Repuestos Premium,2026-05-21,Kit de embrague,10,130.00
Frenos Seguros,2026-05-22,Alternador 90A,8,160.00
Suspension Plus,2026-05-23,Motor de arranque,7,140.00
Motor Parts EC,2026-05-24,Sensor de oxigeno,18,45.00
Filtros del Austro,2026-05-25,Bobina de encendido,20,31.00
Neumaticos Sierra,2026-05-26,Radiador compacto,9,95.00
Direccion Hidraulica,2026-05-27,Termostato 88C,28,11.00
Escape y Catalizadores,2026-05-28,Kit de afinamiento,15,40.00
Pinturas y Limpieza,2026-05-29,Aditivo limpiainyectores,50,5.20
Insumos Automotrices,2026-05-30,Grasa multiproposito 500g,55,4.10
