name;bic;street;city;country
PICHINCHA;PICHFCEC;Av. Amazonas y Robles;Quito;EC
GUAYAQUIL;GUAYFCEC;P. Carbo 308 y Gral. Córdova;Guayaquil;EC
AUSTRO;AUSFCEC;Sucre y Borrero;Cuenca;EC
MANABI;MANFCEC;Av. 9 de Octubre y Chile;Portoviejo;EC
AMBATO;AMBFCEC;Av. Cevallos y Guayaquil;Ambato;EC
PACIFICO;PACIFCEC;P. Carbo 300;Guayaquil;EC
BOLIVARIANO;BOLIFCEC;Junín 200 y Panamá;Guayaquil;EC
PRODUBANCO;PRODFCEC;Av. Amazonas y Pasaje Guayas;Quito;EC
INTERNACIONAL;INTFCEC;Av. Patria y 9 de Octubre;Quito;EC
COOP JEP;JEPEFCEC;Av. España y Turuhuayco;Cuenca;EC
